FocusSector,Industry Group,Country,Exchange,Ticker,Company Name,Market,Turnover_USD,Above200DMA,Ret252,profit_margin,roe,revenue_growth,verified,yf,unverified_reason,expansion_signal
Electronics & Semiconductors,Semiconductor,Australia,ASX,4DS,4DS Memory Limited (ASX:4DS),AU,,,,0.0,-1.1514,,NOT-PROFITABLE,4DS.AX,,False
Electronics & Semiconductors,Electronics (General),Australia,ASX,AVA,AVA Risk Group Limited (ASX:AVA),AU,,,,-0.26607,-0.31193,-0.175,NOT-PROFITABLE,AVA.AX,,False
Electronics & Semiconductors,Semiconductor,Australia,ASX,AXE,Archer Materials Limited (ASX:AXE),AU,,,,-2.49728,-0.33617002,0.138,NOT-PROFITABLE,AXE.AX,,True
Electronics & Semiconductors,Electronics (Consumer & Office),Australia,ASX,AMS,Atomos Limited (ASX:AMS),AU,,,,-0.20621,,0.275,UNVERIFIED,AMS.AX,yfinance_data_gap,True
Electronics & Semiconductors,Electronics (Consumer & Office),Australia,ASX,AUA,Audeara Limited (ASX:AUA),AU,,,,-0.20267001,-0.85869,0.638,NOT-PROFITABLE,AUA.AX,,True
Electronics & Semiconductors,Electronics (General),Australia,ASX,AD8,Audinate Group Limited (ASX:AD8),AU,,,,-0.22504,-0.09089,0.121,NOT-PROFITABLE,AD8.AX,,True
Electronics & Semiconductors,Telecom. Equipment,Australia,ASX,BCC,Beam Communications Holdings Limited (ASX:BCC),AU,,,,0.04587,0.24232,-0.088,PROFITABLE,BCC.AX,,False
Electronics & Semiconductors,Semiconductor Equip,Australia,ASX,BLG,BluGlass Limited (ASX:BLG),AU,,,,-1.5960201,-1.0975,0.192,NOT-PROFITABLE,BLG.AX,,True
Electronics & Semiconductors,Electronics (General),Australia,AIM,CPX,CAP-XX Limited (AIM:CPX),AU,,,,,,,UNVERIFIED,CPX.AX,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Australia,ASX,CDA,Codan Limited (ASX:CDA),AU,,,,0.16877002,0.24353,0.288,PROFITABLE,CDA.AX,,True
Electronics & Semiconductors,Telecom. Equipment,Australia,ASX,CML,Connected Minerals Limited (ASX:CML),AU,,,,0.0,-0.38796002,,NOT-PROFITABLE,CML.AX,,False
Electronics & Semiconductors,Electronics (General),Australia,ASX,CT1,Constellation Technologies Limited (ASX:CT1),AU,,,,-0.0983,-0.1671,-0.035,NOT-PROFITABLE,CT1.AX,,False
Electronics & Semiconductors,Electronics (General),Australia,ASX,DTI,DTI Group Limited (ASX:DTI),AU,,,,-0.095019996,-0.24476999,0.335,NOT-PROFITABLE,DTI.AX,,True
Electronics & Semiconductors,Electronics (General),Australia,ASX,ELS,Elsight Limited (ASX:ELS),AU,,,,0.32828,0.28721002,18.175,PROFITABLE,ELS.AX,,True
Electronics & Semiconductors,Electronics (General),Australia,ASX,HYD,Hydrix Limited (ASX:HYD),AU,,,,-0.57435,,-0.136,UNVERIFIED,HYD.AX,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Australia,ASX,NVX,NOVONIX Limited (ASX:NVX),AU,,,,0.0,-0.61969,-0.101,NOT-PROFITABLE,NVX.AX,,False
Electronics & Semiconductors,Electronics (General),Australia,ASX,NVU,Nanoveu Limited (ASX:NVU),AU,,,,0.0,-1.22288,,NOT-PROFITABLE,NVU.AX,,False
Electronics & Semiconductors,Electronics (General),Australia,ASX,RKT,RocketDNA Ltd. (ASX:RKT),AU,,,,-0.36644,-0.41022,0.157,NOT-PROFITABLE,RKT.AX,,True
Electronics & Semiconductors,Electronics (General),Australia,ASX,RWL,Rubicon Water Limited (ASX:RWL),AU,,,,-0.17723,-0.18867001,-0.094,NOT-PROFITABLE,RWL.AX,,False
Electronics & Semiconductors,Electronics (General),Australia,AIM,SEE,Seeing Machines Limited (AIM:SEE),AU,,,,,,,UNVERIFIED,SEE.AX,yfinance_data_gap,False
Electronics & Semiconductors,Telecom. Equipment,Australia,ASX,SEN,Senetas Corporation Limited (ASX:SEN),AU,,,,1.49274,-0.04941,-0.006,NOT-PROFITABLE,SEN.AX,,False
Electronics & Semiconductors,Electronics (General),Australia,ASX,SP3,Spectur Limited (ASX:SP3),AU,,,,-0.09962,-0.598,-0.115,NOT-PROFITABLE,SP3.AX,,False
Electronics & Semiconductors,Electronics (General),Australia,ASX,TZL,TZ Limited (ASX:TZL),AU,,,,-0.41716,,0.021,UNVERIFIED,TZL.AX,yfinance_data_gap,False
Electronics & Semiconductors,Semiconductor,Australia,ASX,WBT,Weebit Nano Limited (ASX:WBT),AU,,,,0.0,-0.55352,7.352,NOT-PROFITABLE,WBT.AX,,True
Electronics & Semiconductors,Electronics (General),Australia,ASX,X2M,X2M Connect Limited (ASX:X2M),AU,,,,-1.63756,,0.416,UNVERIFIED,X2M.AX,yfinance_data_gap,True
Electronics & Semiconductors,Computers/Peripherals,Australia,ASX,ZMM,Zimi Limited (ASX:ZMM),AU,,,,-1.0843,-1.26999,2.529,NOT-PROFITABLE,ZMM.AX,,True
Electronics & Semiconductors,Electronics (General),Austria,WBAG,ATS,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft (WBAG:ATS),,,,,0.03665,0.05934,0.375,PROFITABLE,ATS.VI,,True
Electronics & Semiconductors,Computers/Peripherals,Austria,ATSE,ACAG,Austriacard Holdings AG (ATSE:ACAG),,,,,0.04407,0.13311,0.083,PROFITABLE,ACAG.VI,,False
Electronics & Semiconductors,Electronics (General),Austria,WBAG,KTCG,Kapsch TrafficCom AG (WBAG:KTCG),,,,,0.0068699997,0.03258,-0.21,PROFITABLE,KTCG.VI,,False
Electronics & Semiconductors,Semiconductor,Austria,SWX,AMS,ams-OSRAM AG (SWX:AMS),,,,,-0.09733,-0.37624002,0.039,NOT-PROFITABLE,AMS.SW,,False
Electronics & Semiconductors,Computers/Peripherals,Bangladesh,DSE,DAFODILCOM,Daffodil Computers PLC (DSE:DAFODILCOM),,,,,,,,UNVERIFIED,,exchange_not_covered_by_yfinance,False
Electronics & Semiconductors,Electronics (General),Belgium,ENXTBR,BAR,Barco NV (ENXTBR:BAR),,,,,0.04681,0.06381,-0.08,PROFITABLE,BAR.BR,,False
Electronics & Semiconductors,Telecom. Equipment,Belgium,ENXTBR,OPTI,Crescent NV (ENXTBR:OPTI),,,,,-0.21177,,-0.113,UNVERIFIED,OPTI.BR,yfinance_data_gap,False
Electronics & Semiconductors,Telecom. Equipment,Belgium,ENXTBR,EVS,EVS Broadcast Equipment SA (ENXTBR:EVS),,,,,0.18523,0.17115,0.164,PROFITABLE,EVS.BR,,True
Electronics & Semiconductors,Semiconductor,Belgium,ENXTBR,MELE,Melexis NV (ENXTBR:MELE),,,,,0.12247,0.22027999,0.026,PROFITABLE,MELE.BR,,False
Electronics & Semiconductors,Semiconductor,Belgium,ENXTPA,XFAB,X-FAB Silicon Foundries SE (ENXTPA:XFAB),,,,,0.00521,0.00425,-0.072,PROFITABLE,XFAB.PA,,False
Electronics & Semiconductors,Computers/Peripherals,Brazil,BOVESPA,MLAS3,Grupo Multi S.A. (BOVESPA:MLAS3),BR,,,,0.04481,0.059809998,0.143,PROFITABLE,MLAS3.SA,,True
Electronics & Semiconductors,Telecom. Equipment,Brazil,BOVESPA,INTB3,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira (BOVESPA:INTB3),BR,,,,0.13099,0.18591,-0.078,PROFITABLE,INTB3.SA,,False
Electronics & Semiconductors,Telecom. Equipment,Brazil,BOVESPA,WDCN3,Livetech da Bahia Indústria e Comércio S.A. (BOVESPA:WDCN3),BR,,,,-0.22702,-0.33964002,-0.103,NOT-PROFITABLE,WDCN3.SA,,False
Electronics & Semiconductors,Telecom. Equipment,Brazil,BOVESPA,PDTC3,Padtec Holding S.A. (BOVESPA:PDTC3),BR,,,,0.06487,0.13994001,-0.136,PROFITABLE,PDTC3.SA,,False
Electronics & Semiconductors,Computers/Peripherals,Brazil,BOVESPA,POSI3,Positivo Tecnologia S.A. (BOVESPA:POSI3),BR,,,,0.00291,0.007900001,0.036,PROFITABLE,POSI3.SA,,False
Electronics & Semiconductors,Electronics (General),Bulgaria,BUL,BEE,Bee Smart Technologies AD (BUL:BEE),,,,,,,,UNVERIFIED,,exchange_not_covered_by_yfinance,False
Electronics & Semiconductors,Electronics (General),Bulgaria,BUL,BDT,Biodit AD (BUL:BDT),,,,,,,,UNVERIFIED,,exchange_not_covered_by_yfinance,False
Electronics & Semiconductors,Electronics (General),Bulgaria,BUL,SLYG,Shelly Group SE (BUL:SLYG),,,,,,,,UNVERIFIED,,exchange_not_covered_by_yfinance,False
Electronics & Semiconductors,Electronics (General),Canada,CNSX,AIML,AI/ML Innovations Inc. (CNSX:AIML),CA,,,,,,,UNVERIFIED,AIML.TO,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Canada,CNSX,AETH,Aether Global Innovations Corp. (CNSX:AETH),CA,,,,,,,UNVERIFIED,AETH.TO,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Canada,CNSX,WIFI,American Aires Inc. (CNSX:WIFI),CA,,,,,,,UNVERIFIED,WIFI.TO,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Canada,TSXV,ACU,Aurora Solar Technologies Inc. (TSXV:ACU),CA,,,,,,,UNVERIFIED,ACU.TO,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Canada,TSX,BYL,Baylin Technologies Inc. (TSX:BYL),CA,,,,-0.12508,-1.5588901,-0.019,NOT-PROFITABLE,BYL.TO,,False
Electronics & Semiconductors,Electronics (Consumer & Office),Canada,TSXV,BECN,Beacn Wizardry and Magic Inc. (TSXV:BECN),CA,,,,,,,UNVERIFIED,BECN.TO,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Canada,TSX,BLN,Blackline Safety Corp. (TSX:BLN),CA,,,,-0.06111,-0.12956001,0.232,NOT-PROFITABLE,BLN.TO,,True
Electronics & Semiconductors,Telecom. Equipment,Canada,TSXV,CMI,C-Com Satellite Systems Inc. (TSXV:CMI),CA,,,,,,,UNVERIFIED,CMI.TO,yfinance_data_gap,False
Electronics & Semiconductors,Semiconductor,Canada,NasdaqGS,CSIQ,Canadian Solar Inc. (NasdaqGS:CSIQ),CA,,,,,,,UNVERIFIED,CSIQ.TO,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Canada,CNSX,BLO,Cannabix Technologies Inc. (CNSX:BLO),CA,,,,,,,UNVERIFIED,BLO.TO,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Canada,TSX,CLS,Celestica Inc. (TSX:CLS),CA,,,,0.07159,0.52691,0.624,PROFITABLE,CLS.TO,,True
Electronics & Semiconductors,Telecom. Equipment,Canada,CNSX,CTTT,Critical Infrastructure Technologies Ltd. (CNSX:CTTT),CA,,,,,,,UNVERIFIED,CTTT.TO,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (Consumer & Office),Canada,TSX,DBO,D-BOX Technologies Inc. (TSX:DBO),CA,,,,0.30262,0.68474,0.702,PROFITABLE,DBO.TO,,True
Electronics & Semiconductors,Electronics (General),Canada,TSXV,EDY,Eddy Smart Home Solutions Ltd. (TSXV:EDY),CA,,,,,,,UNVERIFIED,EDY.TO,yfinance_data_gap,False
Electronics & Semiconductors,Telecom. Equipment,Canada,TSXV,YFI,Edgewater Wireless Systems Inc. (TSXV:YFI),CA,,,,,,,UNVERIFIED,YFI.TO,yfinance_data_gap,False
Electronics & Semiconductors,Telecom. Equipment,Canada,TSXV,ENA,Enablence Technologies Inc. (TSXV:ENA),CA,,,,,,,UNVERIFIED,ENA.TO,yfinance_data_gap,False
Electronics & Semiconductors,Telecom. Equipment,Canada,TSX,ET,Evertz Technologies Limited (TSX:ET),CA,,,,0.12402,0.27264,0.029,PROFITABLE,ET.TO,,False
Electronics & Semiconductors,Electronics (General),Canada,TSX,FTG,Firan Technology Group Corporation (TSX:FTG),CA,,,,0.07496,0.15609,0.082,PROFITABLE,FTG.TO,,False
Electronics & Semiconductors,Electronics (General),Canada,TSXV,GSI,Gatekeeper Systems Inc. (TSXV:GSI),CA,,,,,,,UNVERIFIED,GSI.TO,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Canada,CNSX,HYLQ,HYLQ Strategy Corp. (CNSX:HYLQ),CA,,,,,,,UNVERIFIED,HYLQ.TO,yfinance_data_gap,False
Electronics & Semiconductors,Telecom. Equipment,Canada,TSX,HAI,Haivision Systems Inc. (TSX:HAI),CA,,,,0.0111,0.01702,-0.051,PROFITABLE,HAI.TO,,False
Electronics & Semiconductors,Electronics (General),Canada,TSXV,HAPB,"Hapbee Technologies, Inc. (TSXV:HAPB)",CA,,,,,,,UNVERIFIED,HAPB.TO,yfinance_data_gap,False
Electronics & Semiconductors,Electronics (General),Canada,TSXV,INEO,INEO Tech Corp. (TSXV:INEO),CA,,,,,,,UNVERIFIED,INEO.TO,yfinance_data_gap,False
