FocusSector,Country,Companies
Aerospace & Defence,Australia,5
Aerospace & Defence,Austria,2
Aerospace & Defence,Brazil,1
Aerospace & Defence,Canada,12
Aerospace & Defence,China,68
Aerospace & Defence,Cyprus,1
Aerospace & Defence,Czech Republic,2
Aerospace & Defence,Denmark,3
Aerospace & Defence,France,12
Aerospace & Defence,Germany,7
Aerospace & Defence,Hong Kong,3
Aerospace & Defence,India,23
Aerospace & Defence,Indonesia,1
Aerospace & Defence,Israel,16
Aerospace & Defence,Italy,5
Aerospace & Defence,Japan,5
Aerospace & Defence,Malaysia,1
Aerospace & Defence,Netherlands,1
Aerospace & Defence,Norway,2
Aerospace & Defence,Poland,2
Aerospace & Defence,Romania,4
Aerospace & Defence,Singapore,2
Aerospace & Defence,South Korea,21
Aerospace & Defence,Spain,1
Aerospace & Defence,Sweden,10
Aerospace & Defence,Switzerland,1
Aerospace & Defence,Taiwan,9
Aerospace & Defence,Turkey,4
Aerospace & Defence,United Arab Emirates,2
Aerospace & Defence,United Kingdom,14
Aerospace & Defence,United States,79
"Auto, EV & Components",Australia,10
"Auto, EV & Components",Austria,2
"Auto, EV & Components",Bangladesh,3
"Auto, EV & Components",Brazil,4
"Auto, EV & Components",Bulgaria,1
"Auto, EV & Components",Canada,6
"Auto, EV & Components",Cayman Islands,4
"Auto, EV & Components",China,254
"Auto, EV & Components",Croatia,1
"Auto, EV & Components",Egypt,1
"Auto, EV & Components",France,9
"Auto, EV & Components",Germany,19
"Auto, EV & Components",Hong Kong,14
"Auto, EV & Components",India,139
"Auto, EV & Components",Indonesia,7
"Auto, EV & Components",Ireland,1
"Auto, EV & Components",Israel,7
"Auto, EV & Components",Italy,10
"Auto, EV & Components",Japan,108
"Auto, EV & Components",Luxembourg,1
"Auto, EV & Components",Malaysia,14
"Auto, EV & Components",Mexico,2
"Auto, EV & Components",Netherlands,2
"Auto, EV & Components",Norway,1
"Auto, EV & Components",Pakistan,15
"Auto, EV & Components",Poland,4
"Auto, EV & Components",Portugal,1
"Auto, EV & Components",Romania,5
"Auto, EV & Components",Singapore,2
"Auto, EV & Components",South Africa,1
"Auto, EV & Components",South Korea,121
"Auto, EV & Components",Spain,4
"Auto, EV & Components",Sweden,8
"Auto, EV & Components",Switzerland,5
"Auto, EV & Components",Taiwan,66
"Auto, EV & Components",Thailand,15
"Auto, EV & Components",Turkey,11
"Auto, EV & Components",United Arab Emirates,1
"Auto, EV & Components",United Kingdom,11
"Auto, EV & Components",United States,68
"Auto, EV & Components",Vietnam,4
Chemicals & Plastics,Argentina,2
Chemicals & Plastics,Australia,27
Chemicals & Plastics,Austria,2
Chemicals & Plastics,Bangladesh,21
Chemicals & Plastics,Belgium,7
Chemicals & Plastics,Brazil,6
Chemicals & Plastics,Bulgaria,2
Chemicals & Plastics,Canada,41
Chemicals & Plastics,Cayman Islands,2
Chemicals & Plastics,Chile,4
Chemicals & Plastics,China,612
Chemicals & Plastics,Colombia,1
Chemicals & Plastics,Cyprus,1
Chemicals & Plastics,Czech Republic,1
Chemicals & Plastics,Denmark,3
Chemicals & Plastics,Egypt,15
Chemicals & Plastics,Finland,6
Chemicals & Plastics,France,22
Chemicals & Plastics,Germany,17
Chemicals & Plastics,Greece,5
Chemicals & Plastics,Hong Kong,23
Chemicals & Plastics,Hungary,2
Chemicals & Plastics,India,481
Chemicals & Plastics,Indonesia,45
Chemicals & Plastics,Ireland,1
Chemicals & Plastics,Israel,18
Chemicals & Plastics,Italy,11
Chemicals & Plastics,Ivory Coast,3
Chemicals & Plastics,Jamaica,2
Chemicals & Plastics,Japan,190
Chemicals & Plastics,Jordan,4
Chemicals & Plastics,Kenya,4
Chemicals & Plastics,Kuwait,3
Chemicals & Plastics,Luxembourg,2
Chemicals & Plastics,Macau,1
Chemicals & Plastics,Malaysia,56
Chemicals & Plastics,Mauritius,2
Chemicals & Plastics,Mexico,4
Chemicals & Plastics,Morocco,3
Chemicals & Plastics,Netherlands,7
Chemicals & Plastics,New Zealand,2
Chemicals & Plastics,Nigeria,6
Chemicals & Plastics,Norway,9
Chemicals & Plastics,Oman,4
Chemicals & Plastics,Pakistan,47
Chemicals & Plastics,Palestinian Authority,1
Chemicals & Plastics,Philippines,4
Chemicals & Plastics,Poland,18
Chemicals & Plastics,Portugal,1
Chemicals & Plastics,Qatar,1
Chemicals & Plastics,Romania,9
Chemicals & Plastics,Saudi Arabia,27
Chemicals & Plastics,Serbia,1
Chemicals & Plastics,Singapore,10
Chemicals & Plastics,Slovenia,2
Chemicals & Plastics,South Africa,8
Chemicals & Plastics,South Korea,187
Chemicals & Plastics,Spain,5
Chemicals & Plastics,Sri Lanka,16
Chemicals & Plastics,Sweden,18
Chemicals & Plastics,Switzerland,10
Chemicals & Plastics,Taiwan,108
Chemicals & Plastics,Tanzania,1
Chemicals & Plastics,Thailand,61
Chemicals & Plastics,Tunisia,6
Chemicals & Plastics,Turkey,39
Chemicals & Plastics,United Arab Emirates,2
Chemicals & Plastics,United Kingdom,22
Chemicals & Plastics,United States,114
Chemicals & Plastics,Venezuela,5
Chemicals & Plastics,Vietnam,50
Electronics & Semiconductors,Australia,26
Electronics & Semiconductors,Austria,4
Electronics & Semiconductors,Bangladesh,1
Electronics & Semiconductors,Belgium,5
Electronics & Semiconductors,Brazil,5
Electronics & Semiconductors,Bulgaria,3
Electronics & Semiconductors,Canada,50
Electronics & Semiconductors,Cayman Islands,16
Electronics & Semiconductors,China,837
Electronics & Semiconductors,Croatia,1
Electronics & Semiconductors,Czech Republic,2
Electronics & Semiconductors,Denmark,8
Electronics & Semiconductors,Estonia,2
Electronics & Semiconductors,Finland,9
Electronics & Semiconductors,France,45
Electronics & Semiconductors,Germany,40
Electronics & Semiconductors,Greece,1
Electronics & Semiconductors,Hong Kong,84
Electronics & Semiconductors,Hungary,1
Electronics & Semiconductors,India,100
Electronics & Semiconductors,Indonesia,8
Electronics & Semiconductors,Ireland,2
Electronics & Semiconductors,Isle of Man,1
Electronics & Semiconductors,Israel,54
Electronics & Semiconductors,Italy,17
Electronics & Semiconductors,Japan,237
Electronics & Semiconductors,Latvia,1
Electronics & Semiconductors,Macau,2
Electronics & Semiconductors,Malaysia,60
Electronics & Semiconductors,Netherlands,6
Electronics & Semiconductors,New Zealand,3
Electronics & Semiconductors,Nigeria,1
Electronics & Semiconductors,Norway,16
Electronics & Semiconductors,Pakistan,1
Electronics & Semiconductors,Philippines,4
Electronics & Semiconductors,Poland,18
Electronics & Semiconductors,Portugal,1
Electronics & Semiconductors,Romania,4
Electronics & Semiconductors,Saudi Arabia,1
Electronics & Semiconductors,Singapore,33
Electronics & Semiconductors,South Africa,2
Electronics & Semiconductors,South Korea,487
Electronics & Semiconductors,Spain,4
Electronics & Semiconductors,Sweden,58
Electronics & Semiconductors,Switzerland,13
Electronics & Semiconductors,Taiwan,789
Electronics & Semiconductors,Thailand,14
Electronics & Semiconductors,Tunisia,1
Electronics & Semiconductors,Turkey,13
Electronics & Semiconductors,United Kingdom,40
Electronics & Semiconductors,United States,312
Electronics & Semiconductors,Vietnam,6
Food Processing,Argentina,6
Food Processing,Australia,21
Food Processing,Austria,2
Food Processing,Bahrain,1
Food Processing,Bangladesh,23
Food Processing,Belgium,5
Food Processing,Brazil,7
Food Processing,British Virgin Islands,1
Food Processing,Bulgaria,2
Food Processing,Canada,24
Food Processing,Cayman Islands,1
Food Processing,Chile,10
Food Processing,China,167
Food Processing,Colombia,1
Food Processing,Croatia,4
Food Processing,Cyprus,5
Food Processing,Denmark,2
Food Processing,Ecuador,1
Food Processing,Egypt,20
Food Processing,Estonia,1
