FocusSector,Industry Group,Country,Exchange,Ticker,Company Name,Market,Turnover_USD,Above200DMA,Ret252,profit_margin,roe,revenue_growth,verified
Aerospace & Defence,Aerospace/Defense,Australia,ASX,ASB,Austal Limited (ASX:ASB),AU,,,,,,,
Aerospace & Defence,Aerospace/Defense,Australia,ASX,DRO,DroneShield Limited (ASX:DRO),AU,,,,,,,
Aerospace & Defence,Aerospace/Defense,Australia,ASX,EOS,Electro Optic Systems Holdings Limited (ASX:EOS),AU,,,,,,,
Aerospace & Defence,Aerospace/Defense,Australia,ASX,HCL,HighCom Limited (ASX:HCL),AU,,,,,,,
Aerospace & Defence,Aerospace/Defense,Australia,ASX,OEC,Orbital Corporation Limited (ASX:OEC),AU,,,,,,,
Aerospace & Defence,Aerospace/Defense,Austria,WBAG,FACC,FACC AG (WBAG:FACC),,,,,,,,
Aerospace & Defence,Aerospace/Defense,Austria,XTRA,FQT,Frequentis AG (XTRA:FQT),,,,,,,,
Aerospace & Defence,Aerospace/Defense,Brazil,BOVESPA,EMBJ3,Embraer S.A. (BOVESPA:EMBJ3),BR,,,,,,,
Aerospace & Defence,Aerospace/Defense,Canada,NasdaqCM,AZ,A2Z Cust2Mate Solutions Corp. (NasdaqCM:AZ),CA,,,,,,,
Aerospace & Defence,Aerospace/Defense,Canada,TSX,BBD.B,Bombardier Inc. (TSX:BBD.B),CA,,,,,,,
Aerospace & Defence,Aerospace/Defense,Canada,TSX,CAE,CAE Inc. (TSX:CAE),CA,,,,,,,
Aerospace & Defence,Aerospace/Defense,Canada,TSXV,DFSC,DEFSEC Technologies Inc. (TSXV:DFSC),CA,,,,,,,
Aerospace & Defence,Aerospace/Defense,Canada,CNSX,DPRO,Draganfly Inc. (CNSX:DPRO),CA,,,,,,,
Aerospace & Defence,Aerospace/Defense,Canada,OTCPK,LLLI,"Lamperd Less Lethal, Inc. (OTCPK:LLLI)",CA,,,,,,,
Aerospace & Defence,Aerospace/Defense,Canada,TSX,MDA,MDA Space Ltd. (TSX:MDA),CA,,,,,,,
