FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252
Aerospace & Defence,Foreign,US,RKLB,Rocket Lab Corp,Aerospace/Defense,United States,84.54000091552734,2844046168.0,True,
Aerospace & Defence,Foreign,US,GE,GENERAL ELECTRIC CO,Aerospace/Defense,United States,369.0,1641214447.0,True,
Aerospace & Defence,Foreign,US,RTX,RTX Corp,Aerospace/Defense,United States,187.99000549316406,1063362889.0,True,
Aerospace & Defence,Foreign,US,HWM,Howmet Aerospace Inc.,Aerospace/Defense,United States,268.8699951171875,733960413.0,True,
Aerospace & Defence,Foreign,US,RDW,Redwire Corp,Aerospace/Defense,United States,10.930000305175781,648974354.0,True,
Aerospace & Defence,Foreign,US,TDG,TransDigm Group INC,Aerospace/Defense,United States,1324.56005859375,499059714.0,True,
Aerospace & Defence,Foreign,US,GD,GENERAL DYNAMICS CORP,Aerospace/Defense,United States,346.7099914550781,453162689.0,True,
Aerospace & Defence,Foreign,US,CRS,CARPENTER TECHNOLOGY CORP,Aerospace/Defense,United States,591.780029296875,431615563.0,True,
Aerospace & Defence,Foreign,US,LUNR,"Intuitive Machines, Inc.",Aerospace/Defense,United States,19.790000915527344,376364103.0,True,
Aerospace & Defence,Foreign,US,ATI,ATI INC,Aerospace/Defense,United States,197.39999389648438,327860830.0,True,
Aerospace & Defence,Foreign,US,WWD,"Woodward, Inc.",Aerospace/Defense,United States,431.6199951171875,300456960.0,True,
Aerospace & Defence,Foreign,US,HEI,HEICO CORP,Aerospace/Defense,United States,345.2099914550781,187538024.0,True,
Aerospace & Defence,Foreign,US,CW,CURTISS WRIGHT CORP,Aerospace/Defense,United States,747.27001953125,184908362.0,True,
Aerospace & Defence,Foreign,US,BWXT,"BWX Technologies, Inc.",Aerospace/Defense,United States,197.91000366210938,179845438.0,True,
Aerospace & Defence,Foreign,US,TXT,TEXTRON INC,Aerospace/Defense,United States,91.22000122070312,129673512.0,True,
Aerospace & Defence,Foreign,US,SARO,"StandardAero, Inc.",Aerospace/Defense,United States,28.139999389648438,109206013.0,True,
Aerospace & Defence,Foreign,US,HXL,HEXCEL CORP /DE/,Aerospace/Defense,United States,96.5199966430664,87785746.0,True,
Aerospace & Defence,Foreign,US,VSEC,VSE CORP,Aerospace/Defense,United States,219.99000549316406,84847297.0,True,
Aerospace & Defence,Foreign,US,MRCY,MERCURY SYSTEMS INC,Aerospace/Defense,United States,109.37999725341797,77490860.0,True,
Aerospace & Defence,Foreign,US,SIDU,Sidus Space Inc.,Aerospace/Defense,United States,2.609999895095825,75427602.0,True,
Aerospace & Defence,Foreign,US,SATL,Satellogic Inc.,Aerospace/Defense,United States,4.619999885559082,59567368.0,True,
Aerospace & Defence,Foreign,US,ATRO,ASTRONICS CORP,Aerospace/Defense,United States,84.31999969482422,49579980.0,True,
Aerospace & Defence,Foreign,US,LOAR,Loar Holdings Inc.,Aerospace/Defense,United States,79.13999938964844,49541071.0,True,
Aerospace & Defence,Foreign,US,AIR,AAR CORP,Aerospace/Defense,United States,143.13999938964844,46269161.0,True,
