FocusSector,Industry Group,Country,Exchange,Ticker,Company Name,Market,Turnover_USD,Above200DMA,Ret252,profit_margin,roe,revenue_growth,verified,yf,unverified_reason,expansion_signal
Medical Devices,Healthcare Products,Australia,ASX,ANN,Ansell Limited (ASX:ANN),AU,,,,0.06736,0.06964,0.007,PROFITABLE,ANN.AX,,False
Medical Devices,Healthcare Products,Australia,ASX,AVR,Anteris Technologies Global Corp. (ASX:AVR),AU,,,,0.0,-0.59213,-0.112,NOT-PROFITABLE,AVR.AX,,False
Medical Devices,Healthcare Products,Australia,ASX,AT1,Atomo Diagnostics Limited (ASX:AT1),AU,,,,-1.01447,-0.56611997,0.062,NOT-PROFITABLE,AT1.AX,,False
Medical Devices,Healthcare Products,Australia,ASX,AHC,Austco Healthcare Limited (ASX:AHC),AU,,,,0.083579995,0.14353,0.307,PROFITABLE,AHC.AX,,True
Medical Devices,Healthcare Products,Australia,ASX,CQT,CONNEQT Health Limited (ASX:CQT),AU,,,,-2.96886,-8.308889,-0.078,NOT-PROFITABLE,CQT.AX,,False
Medical Devices,Healthcare Products,Australia,ASX,CSX,CleanSpace Holdings Limited (ASX:CSX),AU,,,,0.08534,0.08756,0.097,PROFITABLE,CSX.AX,,False
Medical Devices,Healthcare Products,Australia,ASX,CC5,Clever Culture Systems Limited (ASX:CC5),AU,,,,-0.14382,-0.1164,-0.102,NOT-PROFITABLE,CC5.AX,,False
Medical Devices,Healthcare Products,Australia,ASX,COH,Cochlear Limited (ASX:COH),AU,,,,0.14766,0.18146,-0.004,PROFITABLE,COH.AX,,False
Medical Devices,Healthcare Products,Australia,ASX,CMP,Compumedics Limited (ASX:CMP),AU,,,,0.00193,0.00505,0.317,PROFITABLE,CMP.AX,,True
Medical Devices,Healthcare Products,Australia,ASX,CBL,Control Bionics Limited (ASX:CBL),AU,,,,-1.0703601,-0.91563004,-0.026,NOT-PROFITABLE,CBL.AX,,False
Medical Devices,Healthcare Products,Australia,ASX,CYC,Cyclopharm Limited (ASX:CYC),AU,,,,-0.53271,-0.49312,0.105,NOT-PROFITABLE,CYC.AX,,True
