FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252,yf,profit_margin,roe,revenue_growth,verified,expansion_signal
Aerospace & Defence,Foreign,US,RKLB,Rocket Lab Corp,Aerospace/Defense,United States,84.54000091552734,2844046168.0,True,,RKLB,-0.26872,-0.13549,0.635,NOT-PROFITABLE,True
Aerospace & Defence,Foreign,US,GE,GENERAL ELECTRIC CO,Aerospace/Defense,United States,369.0,1641214447.0,True,,GE,0.17716,0.48231998,0.211,PROFITABLE,True
Aerospace & Defence,Foreign,US,RTX,RTX Corp,Aerospace/Defense,United States,187.9900054931641,1063362889.0,True,,RTX,0.080290005,0.11571,0.087,PROFITABLE,False
Aerospace & Defence,Foreign,US,HWM,Howmet Aerospace Inc.,Aerospace/Defense,United States,268.8699951171875,733960413.0,True,,HWM,0.20225,0.33818,0.191,PROFITABLE,True
Aerospace & Defence,Foreign,US,RDW,Redwire Corp,Aerospace/Defense,United States,10.93000030517578,648974354.0,True,,RDW,-0.809,-0.48749,0.579,NOT-PROFITABLE,True
Aerospace & Defence,Foreign,US,TDG,TransDigm Group INC,Aerospace/Defense,United States,1324.56005859375,499059714.0,True,,TDG,0.21909,,0.183,UNVERIFIED,True
Aerospace & Defence,Foreign,US,GD,GENERAL DYNAMICS CORP,Aerospace/Defense,United States,346.7099914550781,453162689.0,True,,GD,0.08068,0.17974001,0.103,PROFITABLE,True
Aerospace & Defence,Foreign,US,CRS,CARPENTER TECHNOLOGY CORP,Aerospace/Defense,United States,591.780029296875,431615563.0,True,,CRS,0.15818,0.24892999,0.116,PROFITABLE,True
Aerospace & Defence,India,IN,APOLLO,APOLLO MICRO SYSTEMS LTD,Aerospace/Defense,India,424.75,95785899.0,True,118.32433479170912,APOLLO.NS,0.12487,0.1121,0.813,PROFITABLE,True
Aerospace & Defence,India,IN,PARAS,PARAS DEF AND SPCE TECH L,Aerospace/Defense,India,1289.050048828125,62220495.0,True,-22.074109123571727,PARAS.NS,0.18486,0.13137999,0.579,PROFITABLE,True
Aerospace & Defence,India,IN,DATAPATTNS,DATA PATTERNS INDIA LTD,Aerospace/Defense,India,4501.7998046875,49683919.0,True,52.20095105722595,DATAPATTNS.NS,0.29345,0.1673,-0.13,PROFITABLE,True
Aerospace & Defence,India,IN,GRSE,GARDEN REACH SHIP&ENG LTD,Aerospace/Defense,India,2726.199951171875,19846308.0,True,-17.076290601299128,GRSE.NS,0.106809996,0.31791002,0.291,PROFITABLE,True
Aerospace & Defence,India,IN,IDEAFORGE,IDEAFORGE TECHNOLOGY LIMITED,Aerospace/Defense,India,814.1500244140625,14929805.0,True,59.2313795915288,IDEAFORGE.NS,-0.07531,-0.028199999,5.944,NOT-PROFITABLE,True
Aerospace & Defence,India,IN,DCXINDIA,DCX SYSTEMS LIMITED,Aerospace/Defense,India,198.72000122070312,1785961.0,True,-32.41965330037166,DCXINDIA.NS,-0.010369999,-0.0053399997,-0.623,NOT-PROFITABLE,False
Aerospace & Defence,India,IN,UNIMECH,UNIMECH AEROSPACE N MFG L,Aerospace/Defense,India,1171.6500244140625,1462751.0,True,,UNIMECH.NS,0.26314,0.09,0.196,PROFITABLE,True
Aerospace & Defence,India,IN,ROSSTECH,ROSSELL TECHSYS LIMITED,Aerospace/Defense,India,969.4000244140624,1443947.0,True,,ROSSTECH.NS,0.04513,0.15179,0.646,PROFITABLE,True
"Auto, EV & Components",Foreign,US,F,FORD MOTOR CO,Auto & Truck,United States,14.130000114440918,804635468.0,True,,F,-0.03216,-0.14813,0.064,NOT-PROFITABLE,False
"Auto, EV & Components",Foreign,US,GM,General Motors Co,Auto & Truck,United States,78.0999984741211,743701536.0,True,,GM,0.0137600005,0.040149998,-0.009,PROFITABLE,False
