FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252
Aerospace & Defence,Foreign,US,RKLB,Rocket Lab Corp,Aerospace/Defense,United States,84.54000091552734,2844046168.0,True,
Aerospace & Defence,Foreign,US,GE,GENERAL ELECTRIC CO,Aerospace/Defense,United States,369.0,1641214447.0,True,
Aerospace & Defence,Foreign,US,RTX,RTX Corp,Aerospace/Defense,United States,187.99000549316406,1063362889.0,True,
Aerospace & Defence,Foreign,US,HWM,Howmet Aerospace Inc.,Aerospace/Defense,United States,268.8699951171875,733960413.0,True,
Aerospace & Defence,Foreign,US,RDW,Redwire Corp,Aerospace/Defense,United States,10.930000305175781,648974354.0,True,
Aerospace & Defence,Foreign,US,TDG,TransDigm Group INC,Aerospace/Defense,United States,1324.56005859375,499059714.0,True,
Aerospace & Defence,Foreign,US,GD,GENERAL DYNAMICS CORP,Aerospace/Defense,United States,346.7099914550781,453162689.0,True,
Aerospace & Defence,Foreign,US,CRS,CARPENTER TECHNOLOGY CORP,Aerospace/Defense,United States,591.780029296875,431615563.0,True,
Aerospace & Defence,India,IN,APOLLO,APOLLO MICRO SYSTEMS LTD,Aerospace/Defense,India,424.75,95785899.0,True,118.32433479170912
Aerospace & Defence,India,IN,PARAS,PARAS DEF AND SPCE TECH L,Aerospace/Defense,India,1289.050048828125,62220495.0,True,-22.074109123571727
Aerospace & Defence,India,IN,DATAPATTNS,DATA PATTERNS INDIA LTD,Aerospace/Defense,India,4501.7998046875,49683919.0,True,52.20095105722595
Aerospace & Defence,India,IN,GRSE,GARDEN REACH SHIP&ENG LTD,Aerospace/Defense,India,2726.199951171875,19846308.0,True,-17.076290601299128
Aerospace & Defence,India,IN,IDEAFORGE,IDEAFORGE TECHNOLOGY LIMITED,Aerospace/Defense,India,814.1500244140625,14929805.0,True,59.2313795915288
Aerospace & Defence,India,IN,DCXINDIA,DCX SYSTEMS LIMITED,Aerospace/Defense,India,198.72000122070312,1785961.0,True,-32.41965330037166
Aerospace & Defence,India,IN,UNIMECH,UNIMECH AEROSPACE N MFG L,Aerospace/Defense,India,1171.6500244140625,1462751.0,True,
Aerospace & Defence,India,IN,ROSSTECH,ROSSELL TECHSYS LIMITED,Aerospace/Defense,India,969.4000244140625,1443947.0,True,
"Auto, EV & Components",Foreign,US,F,FORD MOTOR CO,Auto & Truck,United States,14.130000114440918,804635468.0,True,
"Auto, EV & Components",Foreign,US,GM,General Motors Co,Auto & Truck,United States,78.0999984741211,743701536.0,True,
"Auto, EV & Components",Foreign,US,BWA,BORGWARNER INC,Auto Parts,United States,68.11000061035156,251248780.0,True,
"Auto, EV & Components",Foreign,US,LEA,LEAR CORP,Auto Parts,United States,136.83999633789062,104341575.0,True,
"Auto, EV & Components",Foreign,US,GNTX,GENTEX CORP,Auto Parts,United States,25.649999618530273,61027145.0,True,
"Auto, EV & Components",Foreign,US,HOG,"HARLEY-DAVIDSON, INC.",Auto & Truck,United States,25.190000534057617,49930142.0,True,
"Auto, EV & Components",Foreign,US,DAN,DANA Inc,Auto Parts,United States,28.1299991607666,43781818.0,True,
